0x41b99c	演示模式中
0x41bc98	直接说“第几个”或说去哪里
0x41c064	使用本产品时，请注意安全并遵守当地移动设备的法律法规。
0x41cc68	群聊通话
0x41cc78	的群聊通话
0x41e934	中翻英
0x41e940	中文转写
0x41e950	停止翻译
0x41ea74	唤醒词声纹不匹配，请去MYVU AR APP中重新录制
0x41f4d4	建议在使用本产品前为其充电至100%并继续充电1小时，以保证对电池电量的准确显示
0x42293c	指环已更新至最新版本
0x42295c	指环更新失败
0x422970	指环已断开连接，更新失败
0x422998	按住挥动
0x423044	对话翻译
0x423054	%s%s对话翻译，正在听
0x423074	中英对话翻译，正在听
0x423094	对话翻译需要配合手机使用
0x4230bc	请去 MYVU App 中，打开“翻译官”开始对话翻译
0x4230fc	%s文电话转写，正在听
0x42311c	中英电话转写，正在听
0x42313c	%s%s电话翻译，正在听
0x42315c	中英电话翻译，正在听
0x42317c	正在向对方播报隐私提醒
0x4231a0	已开启电话翻译功能...
0x4231c0	已开启电话转写功能...
0x4231e0	已开启电话翻译功能，本次通话将会被记录。请注意保护您的隐私安全，并以轮流对讲的模式开始交流...
0x42326c	已开启电话转写功能，本次通话将会被记录。请注意保护您的隐私安全，并以轮流对讲的模式开始交流...
0x4232f8	正在通话中，可开启“对话翻译”翻译通话内容
0x423338	可去 MVYU App 翻译官调整播报声音
0x426bf8	滑动滚轮进行上下翻页
0x426c18	[表情]
0x426c24	类型： 
0x426c30	天气
0x426c38	系统提示
0x426c48	恢复出厂设置时，眼镜将会自动重启
0x426c7c	单击确定/双击取消
0x426c98	更新预计 5 分钟，更新时眼镜不可用
0x426ccc	单击更新/双击取消
0x426ce8	立即更新
0x426cf8	暂不更新
0x426d08	请连接手机后再试
0x426d24	服务异常，请重试尝试
0x426d44	指环电量仅剩15%
0x426d5c	指环电量仅剩5%
0x426d74	已连接
0x426d80	已断开
0x426d8c	已解绑
0x426d98	眼镜电量仅剩15%
0x426db0	眼镜电量仅剩5%
0x426dc8	眼镜电量已达100%
0x426de0	请去手机下载 MYVU App 后继续使用
0x426e0c	按住指环挥动，可调整位置
0x426e34	指环已解绑
0x426e44	你的指环
0x426e54	解除与眼镜的绑定，需重新绑定此眼镜后才能继续使用
